ID: 7716, Name: sihost, Priority: 8, Start Time: 12.01.2025 14:07:55, Status: True, CPU Time: 00:00:08.8125000
ID: 7752, Name: svchost, Priority: 8, Start Time: 12.01.2025 14:07:55, Status: True, CPU Time: 00:00:04.3125000
ID: 7828, Name: svchost, Priority: 8, Start Time: 12.01.2025 14:07:55, Status: True, CPU Time: 00:00:00
ID: 7872, Name: svchost, Priority: 8, Start Time: 12.01.2025 14:07:55, Status: True, CPU Time: 00:00:24.6718750
ID: 7932, Name: taskhostw, Priority: 8, Start Time: 12.01.2025 14:07:55, Status: True, CPU Time: 00:00:01.6718750
ID: 4260, Name: explorer, Priority: 8, Start Time: 12.01.2025 14:07:55, Status: True, CPU Time: 00:03:59.5468750
ID: 8580, Name: SenaryAudioApp, Priority: 8, Start Time: 12.01.2025 14:07:55, Status: True, CPU Time: 00:00:00.7500000
ID: 8484, Name: svchost, Priority: 8, Start Time: 12.01.2025 14:07:56, Status: True, CPU Time: 00:00:00.6406250
ID: 9340, Name: NahimicSvc64, Priority: 8, Start Time: 12.01.2025 14:07:56, Status: True, CPU Time: 00:00:41
ID: 9360, Name: NahimicSvc32, Priority: 8, Start Time: 12.01.2025 14:07:56, Status: True, CPU Time: 00:00:02.0156250
ID: 9428, Name: NahimicAPO4Volume, Priority: 8, Start Time: 12.01.2025 14:07:56, Status: True, CPU Time: 00:00:00.0625000
ID: 9272, Name: StartMenuExperienceHost, Priority: 8, Start Time: 12.01.2025 14:07:56, Status: True, CPU Time: 00:00:02.7656250
ID: 4172, Name: SearchHost, Priority: 8, Start Time: 12.01.2025 14:07:56, Status: True, CPU Time: 00:00:05.3437500
ID: 9828, Name: RuntimeBroker, Priority: 8, Start Time: 12.01.2025 14:07:57, Status: True, CPU Time: 00:00:00.4843750
ID: 9592, Name: Widgets, Priority: 8, Start Time: 12.01.2025 14:07:57, Status: True, CPU Time: 00:00:03.0156250
ID: 10112, Name: RuntimeBroker, Priority: 8, Start Time: 12.01.2025 14:07:57, Status: True, CPU Time: 00:00:01.4218750
ID: 10420, Name: WidgetService, Priority: 8, Start Time: 12.01.2025 14:07:57, Status: True, CPU Time: 00:00:00.2812500
ID: 10432, Name: svchost, Priority: 8, Start Time: 12.01.2025 14:07:57, Status: True, CPU Time: 00:00:00.0312500
ID: 10096, Name: dllhost, Priority: 8, Start Time: 12.01.2025 14:07:59, Status: True, CPU Time: 00:00:00.0625000
ID: 11560, Name: ctfmon, Priority: 13, Start Time: 12.01.2025 14:08:00, Status: True, CPU Time: 00:00:17.4062500
ID: 12000, Name: SecurityHealthSystray, Priority: 8, Start Time: 12.01.2025 14:08:00, Status: True, CPU Time: 00:00:00.1406250
ID: 2132, Name: chrome, Priority: 8, Start Time: 12.01.2025 14:08:02, Status: True, CPU Time: 00:05:21.0468750
ID: 11700, Name: chrome, Priority: 8, Start Time: 12.01.2025 14:08:02, Status: True, CPU Time: 00:00:00.1875000
ID: 11772, Name: ShellExperienceHost, Priority: 8, Start Time: 12.01.2025 14:08:02, Status: True, CPU Time: 00:00:05
ID: 11900, Name: RadeonSoftware, Priority: 8, Start Time: 12.01.2025 14:08:02, Status: True, CPU Time: 00:00:10.4375000
ID: 5872, Name: svchost, Priority: 8, Start Time: 12.01.2025 14:08:02, Status: True, CPU Time: 00:00:00.2500000
ID: 9024, Name: chrome, Priority: 10, Start Time: 12.01.2025 14:08:02, Status: True, CPU Time: 00:11:30.2031250
ID: 11392, Name: RuntimeBroker, Priority: 8, Start Time: 12.01.2025 14:08:02, Status: True, CPU Time: 00:00:00.9531250
ID: 12192, Name: chrome, Priority: 8, Start Time: 12.01.2025 14:08:02, Status: True, CPU Time: 00:00:49.8750000
ID: 8496, Name: SystemSettingsBroker, Priority: 8, Start Time: 12.01.2025 14:08:02, Status: True, CPU Time: 00:00:01.8125000
ID: 11272, Name: chrome, Priority: 8, Start Time: 12.01.2025 14:08:03, Status: True, CPU Time: 00:00:01.1875000
ID: 12368, Name: chrome, Priority: 8, Start Time: 12.01.2025 14:08:03, Status: True, CPU Time: 00:00:31
ID: 12468, Name: chrome, Priority: 8, Start Time: 12.01.2025 14:08:03, Status: True, CPU Time: 00:00:00.9375000
ID: 13136, Name: svchost, Priority: 8, Start Time: 12.01.2025 14:08:03, Status: True, CPU Time: 00:00:00.0468750
ID: 13512, Name: nierserver, Priority: 8, Start Time: 12.01.2025 14:08:04, Status: True, CPU Time: 00:00:00.5312500
ID: 13568, Name: cncmd, Priority: 8, Start Time: 12.01.2025 14:08:04, Status: True, CPU Time: 00:00:00.0156250
ID: 13668, Name: AMDRSServ, Priority: 8, Start Time: 12.01.2025 14:08:05, Status: True, CPU Time: 00:00:00.7656250
ID: 6980, Name: chrome, Priority: 4, Start Time: 12.01.2025 14:08:20, Status: True, CPU Time: 00:00:00.4062500
ID: 6972, Name: chrome, Priority: 4, Start Time: 12.01.2025 14:08:20, Status: True, CPU Time: 00:00:00.4062500
ID: 13980, Name: chrome, Priority: 8, Start Time: 12.01.2025 14:08:20, Status: True, CPU Time: 01:06:42
